main_category|sub_category|channel|description
sport|football|VTM|VB. VRIEND - BELGIE/BURKINA FASO
lifestyle|home/decorating|PLAY5|BLIND GEKOCHT, JAREN LATER
fiction|comedy|EEN|EIGEN KWEEK
entertainment|talk|VTM|GE HADT ERBIJ MOETEN ZIJN
lifestyle|leisure/hobby|EEN|HET SCHELDEPELOTON - THE KINGS OF COOL
sport|formula 1|EEN|F1. WK. GP. SAUDI-ARABIE (S.)
knowledge|humanities/history|Canvas|CAESAR'S DOOMSDAY WAR - EINDSPEL
knowledge|human interest/society|Canvas|MICHAEL PALIN IN NORTH KOREA
entertainment|game|PLAY4|10X DE MOL
sport|football|VTM|VB. WK. KWALIF - REPUBLIC OF IRELAND/BELGIUM
knowledge|nature/environment|EEN|THE SECRET LIFE OF THE ZOO
knowledge|nature/environment|EEN|THE MATING GAME - TIMING IS ALLES
fiction|drama/comedy|EEN|THE KITE RUNNER
fiction|comedy|VTM|TOWER HEIST
fiction|adventure|VTM2|PIRATES OF THE CARIBBEAN, SALAZAR'S REVENGE
fiction|science fiction|PLAY4|AD ASTRA
knowledge|nature/environment|EEN|BAGAGE - YOSEMITE, DE AMERIKAANSE NATUUR IN XL
fiction|psychologic drama/melodrama|EEN|SENSE AND SENSIBILITY
fiction|action|PLAY4|SUICIDE SQUAD
lifestyle|show business/variety/stars|VTM|PARADIJS ZOEKT PERSONEEL
knowledge|classical arts|EEN|BAGAGE - DE OSLOFJORD VAN EDVARD MUNCH
information|special event|VTM|EXTRA NIEUWS - BIDEN IN BRUSSEL
sport|cycling (road)|EEN|DE RONDE 105
fiction|thriller|VTM|GLAD IJS
sport|cycling (road)|EEN|WIELRENNEN. 3-DAAGSE BRUGGE-DE PANNE
knowledge|nature/environment|Canvas|THE GREEN PLANET - SEASONAL WORLDS
sport|cycling (road)|EEN|HET SCHELDEPELOTON - IKKE WERE
sport|basketball|EEN|BASKET. WK. H. (S.)
sport|formula 1|EEN|F1. WK. GP. BAHREIN (S.)
sport|athletics (track/piste)|EEN|ATLETIEK. WK. INDOOR BELGRADO
sport|rally|EEN|AUTO. RALLY PORTUGAL (S.)
sport|athletics (track/piste)|Canvas|ATLETIEK. WK. INDOOR BELGRADO
knowledge|humanities/history|Canvas|CAESAR'S DOOMSDAY WAR - INVASIE
fiction|psychologic drama/melodrama|EEN|MISS POTTER
entertainment|game|VTM|MARBLE MANIA
knowledge|nature/environment|EEN|THE MATING GAME - IN HET HEETST VAN DE STRIJD
entertainment|game|VTM|RIJKER DAN JE DENKT?
entertainment|humour|VTM|BENIDORM BASTARDS
fiction|action|VTM|WORLD WAR Z
entertainment|game|PLAY4|REPLAY
fiction|police|EEN|VAN DER VALK
fiction|thriller|Canvas|THE DEPARTED
fiction|fantasy/fairy tale|EEN|THE WITCHES OF EASTWICK
information|special event|EEN|VTM,PLAY4,OEKRAINE 12-12
sport|football|Canvas|VB. C4 UEFA EUROPA CONFERENCE LEAGUE 1/8F - GENT/PAOK
lifestyle|consumer advice|EEN|ANDERMANS ZAKEN
fiction|psychologic drama/melodrama|EEN|TWEE ZOMERS
sport|cycling (road)|EEN|HET SCHELDEPELOTON - IK ZIE U GRAAG, TARZAN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DRENTHE H.
sport|basketball|EEN|BASKET. BB. FIN H. - LIMBURG/OOSTENDE
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/SINT-TRUIDEN
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 7 NICE>COL DE TURINI
fiction|thriller|EEN|HET TWEEDE GELAAT
knowledge|nature/environment|EEN|THE MATING GAME - UIT HET NIETS
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DRENTHE D.
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 6 COURTHEZON>AUBAGNE
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 5 SAINT-JUST-SAINT-RAMBERT>SAINT-SAU
fiction|psychologic drama/melodrama|EEN|NIETS GAAT OVER
sport|football|VTM2|VB. C1 UEFA 1/8F - R.MADRID/PARIS-ST-G.
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 3 VIERZON>DUN-LE-PALESTEL
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 2 AUFFARGIS>ORLEANS
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-NICE - RIT 1 MANTES-LA-VILLE>MANTES-LA-VILLE
sport|cycling (road)|EEN|HET SCHELDEPELOTON - HET GOUDEN KOPPEL
knowledge|medecin/health|EEN|DE INZICHTEN VAN... - ELKE VAN HOOF
knowledge|science/geography|Canvas|UNIVERSE
fiction|popular drama/comedy|EEN|INTOUCHABLES
knowledge|nature/environment|EEN|THE MATING GAME - IN VOLLE ZICHT
sport|other sports|EEN|VANSTEELANT
sport|cycling (road)|EEN|WIELRENNEN. STRADE BIANCHE D.
fiction|adventure|VTM|PIRATES OF THE CARIBBEAN, THE CURSE OF THE BLACK PEARL
information|special event|EEN|O.S. 2022 PARALYMPICS OPENINGSCEREMONIE
entertainment|game|EEN|#WEETIKVEEL
sport|football|Canvas|VB. BB. 1/2F - ANDERLECHT/EUPEN
sport|football|VTM2|VB. BB. 1/2F - CL.BRUGGE/GENT
information|current affair|VTM|FAROEK
sport|cycling (road)|EEN|HET SCHELDEPELOTON - WW SPECIAL
sport|volleyball|EEN|VOLLEY. BB. FIN. D. - OUDEGEM/GENT
sport|volleyball|EEN|VOLLEY. BB. FIN. H. - AALST/GENT
fiction|popular comedy/drama|VTM|JOHNNY ENGLISH
knowledge|human interest/society|Canvas|JANET JACKSON
knowledge|architecture/urbanism|Canvas|ANCIENT SUPERSTRUCTURES - ANGKOR WAT
knowledge|nature/environment|EEN|STORMBORN - DE KINDEREN VAN DE STORM
fiction|popular drama/comedy|EEN|SERENDIPITY
fiction|action|VTM|BABY DRIVER
fiction|thriller|Canvas|VIGIL
fiction|police|EEN|THE LONG CALL
information|special event|VTM|EXTRA NIEUWS - OORLOG IN OEKRAINE
sport|football|VTM2|VB. C1 UEFA 1/8F - AT.MADRID/MANCHESTER UNITED
knowledge|human interest/society|EEN|PAOLA, COTE JARDIN
information|special event|EEN|O.S. 2022 SLUITINGSCEREMONIE
sport|athletics (field/cross)|EEN|VELDLOPEN. HANNUIT (S.)
fiction|action|VTM|AIR FORCE ONE
sport|cycling (road)|EEN|WIELRENNEN JAAROVERZICHT
sport|all sports|EEN|SPORZA BEIJING 2022
fiction|psychologic drama/melodrama|VTM|BREAKTHROUGH
sport|cycling (cross)|EEN|VELDRIJDEN. SINT-NIKLAAS H.
sport|cycling (cross)|EEN|VELDRIJDEN. SINT-NIKLAAS D.
knowledge|nature/environment|EEN|STORMBORN - DE TERUGKEER VAN HET LICHT
fiction|action|EEN|AMERICAN MADE
sport|other winter sports|EEN|O.S. 2022 SNELSCHAATSEN. MASS START - BART SWINGS
sport|figure skating|EEN|O.S. 2022 KUNSTSCHAATSEN - LOENA HENDRICKX
sport|football|VTM2|VB. C1 UEFA 1/8F - INTER/LIVERPOOL
fiction|police|EEN|BAPTISTE
entertainment|talk|EEN|TABOE
fiction|science fiction|VTM|INDEPENDENCE DAY, RESURGENCE
sport|basketball|Canvas|BASKET. WK. KWALIF D. - RUSLAND/BELGIE
entertainment|dance|PLAY4|DANCING WITH THE STARS
knowledge|nature/environment|EEN|STORMBORN - UIT DE DUISTERNIS VERREZEN
fiction|psychologic drama/melodrama|EEN|MY SISTER'S KEEPER
knowledge|medecin/health|Canvas|THERAPIE
fiction|popular drama/comedy|PLAY4|F*** YOU VERY VERY MUCH
fiction|action|VTM|ROBIN HOOD (2018)
sport|basketball|EEN|BASKET. BB. 1/2F (S.)
knowledge|nature/environment|EEN|ANIMALS WITH CAMERAS
sport|cycling (cross)|VTM|VELDRIJDEN. MALDEGEM H.
fiction|other fiction|EEN|DE STORM
sport|cycling (cross)|VTM|VELDRIJDEN. MALDEGEM D.
fiction|thriller|Canvas|DEN SOM DRAEBER
fiction|action|VTM|A GOOD DAY TO DIE HARD
information|special event|EEN|O.S. 2022 OPENINGSCEREMONIE
sport|football|Canvas|VB. BB. 1/2F - EUPEN/ANDERLECHT
sport|football|VTM2|VB. BB. 1/2F - GENT/CL.BRUGGE
entertainment|love/dating|VTM|CUPIDO OFZO
knowledge|human interest/society|Canvas|SEKSWERKERS - DAGEN ZONDER SEKS
sport|cycling (cross)|EEN|VELDRIJDEN. WK. FAYETTEVILLE H.
sport|cycling (cross)|Canvas|VELDRIJDEN. WK. FAYETTEVILLE H.
sport|cycling (cross)|Canvas|VELDRIJDEN. WK. FAYETTEVILLE D.
fiction|adventure|VTM|EXODUS, GODS AND KINGS
sport|cycling (cross)|EEN|VELDRIJDEN. WK. FAYETTEVILLE - BELOFTEN H.
sport|cycling (cross)|EEN|VELDRIJDEN. WK. FAYETTEVILLE - ELITE D.
sport|cycling (cross)|Canvas|VELDRIJDEN. WK. FAYETTEVILLE - JUNIOREN D.
fiction|thriller|VTM|THE NEXT THREE DAYS
entertainment|talk|VTM|LOIC TUSSEN 2 VUREN
sport|cycling (cross)|Canvas|VELDRIJDEN. WK. FAYETTEVILLE
knowledge|human interest/society|EEN|DELPHINE, MIJN VERHAAL
knowledge|human interest/society|Canvas|SEKSWERKERS - TWEEDERANGSBURGERS
sport|cycling (cross)|EEN|VELDRIJDEN. WK. HOOGERHEIDE H.
fiction|other fiction|EEN|HECTOR
sport|cycling (cross)|EEN|VELDRIJDEN. WK. HOOGERHEIDE D.
fiction|action|VTM|SPY
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - KV.MECHELEN/ANDERLECHT
knowledge|humanities/history|Canvas|THE SECRETS TO CIVILIZATION
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - UNION ST-GILLOISE/GENK
sport|basketball|EEN|BASKET. BB. 1/4F - AALST/BRUSSELS
sport|cycling (cross)|EEN|VELDRIJDEN. HAMME H.
knowledge|nature/environment|EEN|CUDDLY & WILD, ADORABLE ANIMAL BABIES
sport|cycling (cross)|EEN|VELDRIJDEN. HAMME D.
fiction|psychologic drama/melodrama|EEN|THE NOTEBOOK
fiction|police|EEN|DALGLIESH
fiction|other fiction|EEN|STAN & OLLIE
entertainment|game|EEN|HET HOOGSTE BOD
lifestyle|pets|PLAY4|VIERVOETERS
lifestyle|travel/tourism|EEN|REIZEN WAES, NEDERLAND
knowledge|human interest/society|Canvas|SEKSWERKERS - IEDEREEN KLANT
sport|cycling (cross)|EEN|VELDRIJDEN. FLAMANVILLE
fiction|action|VTM|ARMAGEDDON
lifestyle|travel/tourism|EEN|WINTER WONDERLAND
fiction|psychologic drama/melodrama|EEN|THE THEORY OF EVERYTHING
fiction|action|VTM|TAKEN 3
entertainment|game|EEN|BRAIN BOXES
information|current affair|VTM|HELDEN VAN HIER, ONTPLOFFING PAARDENMARKT
knowledge|human interest/society|Canvas|SEKSWERKERS - DE EERSTE KEER
fiction|action|EEN|UNDERCOVER
sport|cycling (cross)|EEN|VELDRIJDEN. MIDDELKERKE H.
information|special event|EEN|TOKIO 2020
sport|cycling (cross)|EEN|VELDRIJDEN. MIDDELKERKE - JUNIOREN H.
lifestyle|travel/tourism|EEN|AMERICAN RAILROAD JOURNEYS
fiction|thriller|VTM|INFERNO
sport|cycling (cross)|EEN|VELDRIJDEN. MIDDELKERKE D.
knowledge|nature/environment|EEN|PENGUINS, MEET THE FAMILY
fiction|psychologic drama/melodrama|EEN|A STAR IS BORN
fiction|police|VTM|DE BUURTPOLITIE, HET CIRCUS
fiction|adventure|VTM|THE JUNGLE BOOK
fiction|action|EEN|THE PERFECT STORM
fiction|action|VTM|JACK REACHER
fiction|western|Canvas|TRUE GRIT
fiction|popular drama/comedy|VTM|YESTERDAY
information|current affair|Canvas|FOUR HOURS AT THE CAPITOL
entertainment|variety|VTM|CAMPING COPPENS, NIEUW JAAR NIEUWE VOORNEMENS
knowledge|human interest/society|EEN|RAYMOND GOETHALS MAGIE IN MARSEILLE
knowledge|culture/folklore/tradition|EEN|WONDERS OF MEN - TUNESIE, EL-GHRIBA
knowledge|culture/folklore/tradition|EEN|WONDERS OF MEN - JERUZALEM, DRIE KEER EEN HEILIGE STAD
sport|cycling (cross)|EEN|VELDRIJDEN. HULST H.
sport|cycling (cross)|EEN|VELDRIJDEN. HULST D.
entertainment|humour|EEN|LOSLOPEND KERSTWILD
entertainment|variety|VTM|JACQUES VERMEIRE & LUC VERSCHUEREN SHOW 2
entertainment|music|EEN|ED SHEERAN, SPECIAL VOOR DE WARMSTE WEEK
entertainment|dance|PLAY4|DANCING WITH THE STARS - HAPPY NEW YEAR
entertainment|classical arts|EEN|NEUJAHRSKONZERT DER WIENER PHILHARMONIKER
entertainment|music|EEN|#LIKEME IN CONCERT 2
lifestyle|cooking/food/drink|EEN|NIGELLA, COOK, EAT, REPEAT
fiction|action|VTM|TRUE LIES
entertainment|music|EEN|NIELS DESTADSBADER, STERKER
entertainment|variety|VTM|DE 21 VAN 21
fiction|police|EEN|LONDON KILLS
fiction|police|VTM|SPOED
sport|cycling (cross)|EEN|VELDRIJDEN. LOENHOUT H.
sport|cycling (cross)|EEN|VELDRIJDEN. LOENHOUT D.
knowledge|culture/folklore/tradition|EEN|WONDERS OF MEN - HONGARIJE, GROTE SYNAGOGE VAN BOEDAPEST
entertainment|variety|VTM|CAMPING COPPENS, KERST IN HET HOGE NOORDEN
knowledge|nature/environment|EEN|GRIZZLY BEAR CUBS AND ME
fiction|popular drama/comedy|VTM3|SISI
information|general news|EEN|JAAROVERZICHT
sport|cycling (cross)|EEN|VELDRIJDEN. HEUSDEN-ZOLDER (S.)
sport|cycling (cross)|EEN|VELDRIJDEN. DENDERMONDE H.
sport|cycling (road)|EEN|WIELERJAAR 2021
sport|cycling (cross)|EEN|VELDRIJDEN. DENDERMONDE D.
sport|all sports|EEN|TEAM BELGYM, TOKIO 2020
entertainment|variety|VTM|JACQUES VERMEIRE & LUC VERSCHUEREN SHOW 1
fiction|popular drama/comedy|VTM|SISSI, DIE JUNGE KAISERIN
fiction|psychologic drama/melodrama|EEN|THE ETRUSCAN SMILE
fiction|popular drama/comedy|EEN|FC DE KAMPIOENEN - KERSTSPECIAL
entertainment|variety|Canvas|CIRQUE DU SOLEIL, VOLTA
entertainment|music|EEN|MICHAEL BUBLE'S CHRISTMAS IN THE CITY
entertainment|classical arts|Canvas|PAVAROTTI
sport|football|VTM2|VB. BB. 1/4F - ANDERLECHT/KORTRIJK
information|general news|EEN|VRT NIEUWS UPDATE - OVERLEGCOMITE
knowledge|human interest/society|EEN|DRAAGMOEDERS
sport|football|Canvas|VB. BB. 1/4F - GENT/STANDARD
entertainment|talk|EEN|HET HUIS - INGEBORG SERGEANT
entertainment|game|VTM|DE STERKSTE HANDEN
fiction|adventure|VTM|DE BENDE VAN JAN DE LICHTE
sport|cycling (cross)|EEN|VELDRIJDEN. NAMEN (S.)
sport|all sports|EEN|SPORTGALA
fiction|popular drama/comedy|VTM|SISSI
sport|cycling (cross)|EEN|VELDRIJDEN. WB. RUCPHEN H.
sport|cycling (cross)|EEN|VELDRIJDEN. WB. RUCPHEN D.
knowledge|nature/environment|EEN|AMERICA'S ARCTIC, A REFUGE IMPERILED
entertainment|music|VTM|K3, EEN NIEUW BEGIN - ELKE DAG IETS ANDERS
fiction|popular drama/comedy|EEN|GREEN BOOK
fiction|thriller|Canvas|FURIA
fiction|action|PLAY4|AMERICAN SNIPER
entertainment|talk|EEN|HET HUIS - ASTER NZEYIMANA
entertainment|talk|PLAY4|'T IS GEBEURD
fiction|popular drama/comedy|PLAY4|GROND
entertainment|music|EEN|ROB DE NIJS, VOOR HET LAATST
sport|cycling (cross)|EEN|VELDRIJDEN. WK. VAL DI SOLE H. (S.)
sport|formula 1|EEN|F1. WK. GP. ABU DHABI (S.)
sport|cycling (cross)|EEN|VELDRIJDEN. WK. VAL DI SOLE D. (S.)
sport|football|EEN|VB. SUPER LEAGUE (S.)
knowledge|human interest/society|EEN|WILLY STEVENIERS
sport|athletics (field/cross)|EEN|VELDLOPEN. EK. DUBLIN
fiction|popular drama/comedy|EEN|A WINTER'S TALE
entertainment|music|VTM|K3, EEN NIEUW BEGIN - VALSE START?
fiction|popular drama/comedy|EEN|DOWNTON ABBEY
lifestyle|travel/tourism|PLAY4|HIT THE ROAD JACQUES
fiction|action|VTM2|PEPPERMINT
knowledge|culture/folklore/tradition|EEN|A CIEL OUVERT - TUNISIA
sport|football|Canvas|VB. C3 UEFA SCHIFT - GENK/RAPID WIEN
entertainment|talk|EEN|HET HUIS - MATHIAS COPPENS
sport|football|VTM2|VB. C1 UEFA - PARIS-ST-G./CL.BRUGGE
lifestyle|travel/tourism|EEN|GREAT ALASKAN & CANADIAN RAILWAY JOURNEYS
entertainment|talk|EEN|HET HUIS - CONNER ROUSSEAU
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/ZULTE WAREGEM
entertainment|music|VTM|K3, EEN NIEUW BEGIN - HET GROTE ONBEKENDE
fiction|popular drama/comedy|EEN|BOHEMIAN RHAPSODY
sport|cycling (cross)|EEN|VELDRIJDEN. BOOM (S.)
fiction|police|EEN|ANNIKA
information|general news|EEN|EXTRA JOURNAAL - OVERLEGCOMITE
information|general news|VTM|EXTRA NIEUWS - OVERLEGCOMITE
sport|football|Canvas|VB. BB. 1/8F - GENK/CL.BRUGGE
sport|football|VTM2|VB. BB. 1/8F - SERAING/ANDERLECHT
lifestyle|travel/tourism|EEN|BAGAGE - IJSLAND, VUUR IJS EN GAME OF THRONES
fiction|popular drama/comedy|EEN|CHEYENNE & LOLA
lifestyle|travel/tourism|EEN|GREAT AMERICAN RAILROAD JOURNEYS
sport|basketball|EEN|BASKET. WK. KWALIF - BELGIE/SERVIE
fiction|police|PLAY5|CORONER
sport|rally|EEN|AUTO. RALLY TUNISIE
knowledge|human interest/society|EEN|KOM OP TEGEN KANKER
lifestyle|home/decorating|VTM|WOONINSPIRATIES
entertainment|game|VTM|K2 ZOEKT K3
sport|cycling (cross)|EEN|VELDRIJDEN. KORTRIJK D.
information|general news|Canvas|VRT NIEUWS UPDATE
entertainment|talk|Canvas|ALLEEN ELVIS BLIJFT BESTAAN
knowledge|human interest/society|VTM|RODE NEUZEN DAG
fiction|action|PLAY4|LONDON HAS FALLEN
entertainment|young amusement|EEN|SINTERKLAAS EN DE WAKKERE NACHTEN
sport|other sports|VTM2|DARTS. LADBROKES PLAYERS CHAMPIONSHIP
fiction|popular drama/comedy|Canvas|CAFE SOCIETY
entertainment|music|PLAY4|NATALIA, DE MUSICAL
lifestyle|nature/environment|EEN|SAAR IN HET BOS
sport|football|Canvas|VB. C3 UEFA SCHIFT - DINAMO ZAGREB/GENK
sport|football|PLAY5|VB. C3 UEFA SCHIFT - FRANKFURT/ANTWERPEN
sport|football|VTM2|VB. C1 UEFA - CL.BRUGGE/LEIPZIG
entertainment|talk|EEN|HET HUIS - IRIS VANDENKERCKHOVE
entertainment|talk|VTM|WOUT
sport|cycling (cross)|EEN|VELDRIJDEN. WK. KOKSIJDE H.
sport|cycling (cross)|EEN|VELDRIJDEN. WK. KOKSIJDE D.
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/KORTRIJK
fiction|popular drama/comedy|EEN|THE BUCKET LIST
fiction|thriller|Canvas|STELLA BLOMKVIST
lifestyle|home/decorating|VTM|INTERIEURTALENT GEZOCHT MET VTWONEN
entertainment|variety|VTM|BELGIUM'S GOT TALENT
entertainment|love/dating|PLAY5|TEMPTATION ISLAND - LOVE OR LEAVE
knowledge|economy/business|Canvas|SABENA, HET GROTE AVONTUUR
sport|football|VTM|VB. WK. KWALIF - WALES/BELGIE
entertainment|talk|EEN|HET HUIS - KEVIN JANSSENS
lifestyle|travel/tourism|EEN|MARTIN CLUNES, ISLANDS OF AMERICA
sport|basketball|EEN|BASKET. EK. - BELGIE/DUITSLAND
knowledge|nature/environment|Canvas|EXTREME LANDS - ICELAND
entertainment|music|VTM|K3 LOVE CRUISE
sport|basketball|EEN|BASKET. EK. - OOSTENDE/BERGEN
sport|football|VTM|VB. WK. KWALIF - BELGIUM/ESTONIA
sport|cycling (road)|VTM|WIELRENNEN. BK. LEUVEN
knowledge|nature/environment|EEN|WILD CHINA WITH RAY MEARS - CHINA'S REUZENPANDA'S
fiction|popular drama/comedy|EEN|27 DRESSES
sport|cycling (cross)|EEN|VELDRIJDEN. NIEL H.
sport|cycling (cross)|EEN|VELDRIJDEN. NIEL D.
knowledge|humanities/history|Canvas|THEY SHALL NOT GROW OLD
knowledge|human interest/society|EEN|ALS JE ONS KAN HOREN
entertainment|talk|EEN|HET HUIS - MARCO BORSATO
fiction|popular drama/comedy|EEN|ZIE MIJ GRAAG
sport|cycling (cross)|EEN|VELDRIJDEN. EK. COL DU VAM-DRENTHE H.
sport|hockey|EEN|HOCKEY. EK. H. - UKKEL/GENT
sport|other athletics|EEN|VELDLOPEN. MOL (S.)
information|weather|EEN|DE INZICHTEN VAN... - JILL PEETERS
sport|other cycling|EEN|VELDRIJDEN. EK. COL DU VAM-DRENTHE D.
fiction|other fiction|EEN|TESTAMENT OF YOUTH
knowledge|nature/environment|EEN|WILD CHINA WITH RAY MEARS - OP STAP MET OLIFANTEN
fiction|fantasy/fairy tale|PLAY4|FANTASTIC BEASTS, THE CRMES OF GRINDELWALD
sport|football|Canvas|VB. C3 UEFA SCHIFT - GENK/WEST HAM
entertainment|other entertainment|EEN|DE NOODCENTRALE AMERIKA
entertainment|game|VTM2|BV DARTS
sport|other cycling|EEN|VELDRIJDEN. KOPPENBERG D.
entertainment|love/dating|VTM|BLIND GETROUWD, DE JUBILEE
knowledge|culture/folklore/tradition|EEN|SOMEWHERE ON EARTH - JAPAN
sport|other cycling|EEN|VELDRIJDEN. WK. OVERIJSE H. (S.)
sport|other cycling|PLAY SPORTS OPEN|CYCLO-CROSS. WC.
fiction|popular drama/comedy|EEN|SOMETHING'S GOTTA GIVE
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - SINT-TRUIDEN/CL.BRUGGE
sport|football|Canvas|VB. BB. 1/16F - WESTERLO/ANTWERP
sport|football|VTM2|VB. BB. 1/16F - CL.BRUGGE/DEINZE
information|special event|VTM|EXTRA NIEUWS - VERSTRENGDE CORONAMAATREGELEN
knowledge|medecin/health|VTM|HELDEN VAN DE KINDERKLINIEK
knowledge|economy/business|Canvas|WAT HOUDT ONS TEGEN? - ALLES VOOR DE VOORUITGANG
knowledge|human interest/society|EEN|ELISABETH 20, PORTRET VAN ONZE TOEKOMSTIGE KONINGIN
sport|other cycling|EEN|VELDRIJDEN. ZONHOVEN H.
sport|other cycling|EEN|VELDRIJDEN. ZONHOVEN D.
sport|cycling (track/piste)|EEN|WIELRENNEN. BAAN WK. ROUBAIX D.
sport|cycling (track/piste)|EEN|WIELRENNEN. BAAN WK. ROUBAIX H.
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/BEERSCHOT
fiction|science fiction|EEN|GRAVITY
fiction|action|VTM|R.I.P.D.
sport|other cycling|PLAY SPORTS OPEN|VELDRIJDEN. SUPERPRESTIGE. RUDDERVOORDE
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CE.BRUGGE/STANDARD
sport|football|Canvas|VB. C3 UEFA SCHIFT - WEST HAM/GENK
sport|football|PLAY4|VB. C3 UEFA SCHIFT - FENERBAHCE/ANTWERP
sport|football|VTM2|VB. C1 UEFA SCHIFT - BENFICA/BAYERN
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/MANCHESTER
fiction|other fiction|EEN|MIGUEL
entertainment|variety|VTM|THE BEST OF
knowledge|human interest/society|VTM|IK WIL EEN KIND
knowledge|humanities/history|Canvas|MADEMOISELLE ANDREE
sport|other cycling|Canvas|VELDRIJDEN. WB. IOWA
lifestyle|show business/variety/stars|VTM|IK BEN REMCO
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - SINT-TRUIDEN/ANDERLECHT
fiction|fantasy/fairy tale|VTM3|THE LAST WITCH HUNTER
fiction|thriller|Canvas|OUTLIER
fiction|popular drama/comedy|EEN|LITTLE MAN TATE
fiction|adventure|VTM|NATIONAL TREASURE II, BOOK OF SECRETS
fiction|other fiction|Canvas|WOMAN AT WAR
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/KORTRIJK
sport|other sports|EEN|VOOR ALTIJD KAMPIOEN!
knowledge|human interest/society|EEN|LET'S TALK ABOUT SEX
sport|other cycling|EEN|VELDRIJDEN. FAYETTEVILLE (S.)
sport|football|VTM|VB. NATIONS LEAGUE UEFA FIN - ITALIE/BELGIE
sport|football|VTM|VB. NATIONS LEAGUE UEFA FIN - SPANJE/FRANKRIJK
lifestyle|travel/tourism|EEN|GREEK ISLAND ODYSSEY
sport|formula 1|EEN|F1. WK. GP. TURKIJE
information|traffic/transport|PLAY4|TRAFIEK AXEL
lifestyle|show business/variety/stars|VTM|STEENRIJK, STRAATARM
fiction|thriller|EEN|NOW YOU SEE ME
fiction|action|PLAY4|DUNKIRK
fiction|popular drama/comedy|Canvas|THE POST
sport|football|VTM|VB. NATIONS LEAGUE UEFA 1/2F - BELGIE/FRANKRIJK
sport|football|VTM2|VB. NATIONS LEAGUE UEFA 1/2F - ITALY/SPAIN
knowledge|human interest/society|EEN|ONVERWACHT
sport|cycling (road)|Canvas|HET SCHELDEPELOTON - WW 108
sport|cycling (road)|EEN|WIELRENNEN. PARIJS-ROUBAIX
sport|other sports|EEN|ALLES VOOR GOUD
fiction|action|VTM|007 SPECTRE
sport|cycling (road)|EEN|DE WEG NAAR ROUBAIX
fiction|popular drama/comedy|EEN|THE GREEN MILE
lifestyle|travel/tourism|EEN|ZUID-AFRIKA MET GREGG WALLACE
fiction|thriller|EEN|GRACE
fiction|thriller|VTM2|COLD PURSUIT
lifestyle|show business/variety/stars|VTM|CAMPING COPPENS, ONZE ZWEEDSE ZOMER
sport|football|Canvas|VB. C3 UEFA SCHIFT - GENK/DINAMO ZAGREB
sport|football|PLAY4|VB. C3 UEFA SCHIFT - ANTWERPEN/FRANKFURT
information|current affair|VTM|ALLOO LIVE
sport|football|VTM2|VB. C1 UEFA SCHIFT - JUVENTUS/CHELSEA
sport|football|VTM2|VB. C1 UEFA SCHIFT - LIEIPZIG/CL.BRUGGE
sport|cycling (road)|Canvas|HET SCHELDEPELOTON - THE KINGS OF COOL
sport|cycling (road)|EEN|WIELRENNEN. WK. VLAANDEREN H.
sport|cycling (road)|Canvas|WIELRENNEN. WK. VLAANDEREN H.
fiction|action|VTM|SKYFALL
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - OOSTENDE/ANDERLECHT
knowledge|humanities/history|Canvas|STONEHENGE, THE LOST CIRCLE REVEALED
sport|cycling (road)|EEN|WIELRENNEN. WK. VLAANDEREN D.
sport|other cycling|VTM|VELDRIJDEN. BREDENE H.
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/LEUVEN
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/GENT
sport|cycling (road)|EEN|WIELRENNEN. WK. VLAANDEREN
sport|cycling (road)|EEN|WIELRENNEN. WK. VLAANDEREN - JUNIOREN H.
sport|cycling (road)|Canvas|HET SCHELDEPELOTON
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - STANDARD/ANDERLECHT
knowledge|humanities/history|Canvas|NAPOLEON, LA DESTINEE ET LA MORT
sport|cycling (road)|EEN|WIELRENNEN. PRIMUS CLASSIC
fiction|action|VTM2|MECHANIC, RESURRECTION
